
Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-1.861319778938079,-0.06043383731078483,-1.496133912389482
104.2300949424216,-1.871019219340385,-0.03501420040943614,-1.756197128891216
108.6391269170621,-1.841701889891583,-0.06406240977833462,-1.891286148884681
113.2346651302716,-1.857091932609168,-0.04864239086685063,-1.77968283223835
118.0245989730151,-1.829281513727678,-0.05319647581686197,-1.955918453252622
123.0171515649861,-1.837814491406964,-0.05507447941785677,-2.016000503481393
128.2208938716475,-1.839140194699394,-0.03386853346161432,-2.157777229619455
133.6447594184397,-1.842823875769371,-0.03475116708871838,-2.310243520563162
139.2980596274105,-1.828204871636986,-0.03868312846599276,-2.397487780471693
145.1904998026008,-1.825816242937537,-0.04505980231277269,-2.393090846069619
151.3321957916271,-1.806759129131112,-0.07242910088544641,-2.441692802322232
157.7336913520643,-1.817312009915332,-0.03467718285478395,-2.688694053830815
164.4059762524425,-1.789790499501851,-0.08258938431939365,-2.772907274856891
171.360505138936,-1.817084742410674,-0.02440540565012613,-2.951970773010359
178.609217200126,-1.800818148712067,-0.02633221143890207,-3.145946319770637
186.1645566636072,-1.813899649038379,-0.04436592714654393,-2.929521174761447
194.0394941596158,-1.772472330405901,-0.06265115889090067,-3.199932810869115
202.247548988362,-1.780045527102685,-0.06686986593417145,-3.289021055250778
210.8028123292901,-1.782722481751442,-0.07056890969052627,-3.670816883311403
219.7199714321139,-1.765979702319989,-0.0612562029175756,-3.855846605422585
229.0143348311534,-1.768400621585237,-0.08817530316609659,-4.030409198409536
238.7018586262665,-1.795777112979075,-0.05616634164226005,-4.110898582270508
248.7991738754823,-1.777629689892267,-0.05247628028410235,-4.16591910869613
259.3236151463755,-1.77338556213675,-0.07220772153325934,-4.353292792413413
270.2932502751869,-1.771768306899746,-0.0502720560044926,-4.341663110395103
281.7269113847843,-1.754869251203086,-0.08008603920947041,-4.909864977961305
293.6442272147124,-1.75027387134131,-0.07903147159674952,-5.051731866534155
306.0656568188346,-1.76126469122482,-0.08014017820291938,-5.286274041454451
319.0125246884172,-1.793439011802522,-0.05682466925715514,-5.316843356389285
332.5070573609534,-1.757804356236961,-0.09719627834273795,-5.621945362051633
346.5724215775736,-1.750296072880237,-0.1266265060764747,-5.941063105835131
361.2327640545542,-1.759433634433286,-0.09377491395200145,-5.760805537609342
376.5132529371953,-1.735029130128775,-0.1423883699880784,-6.255416500787831
392.4401210072382,-1.751098131312578,-0.1339693121345792,-6.59542024559634
409.0407107179982,-1.774202547172605,-0.1022496595965411,-6.876876249309987
