
Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-33.37663888339318,31.45462261965794,-84.05631059765955
104.2300949424216,-32.37060798243238,30.43292077733301,-90.63390639452643
108.6391269170621,-31.17788512126049,29.25191341200029,-86.71418980380076
113.2346651302716,-31.20131048461495,29.29432183584115,-87.13444772960378
118.0245989730151,-31.97504048793696,30.05924073283603,-89.93901109602076
123.0171515649861,-30.50702869751735,28.6118475268777,-88.77715046806142
128.2208938716475,-30.01365659454025,28.12127136097974,-87.59953170444689
133.6447594184397,-29.37193281518849,27.48473542622347,-87.08554443392913
139.2980596274105,-29.50384175648332,27.61121594134265,-86.42680323544259
145.1904998026008,-29.70825189137425,27.82704582767558,-88.44427161431342
151.3321957916271,-28.84291398581101,26.95131554238962,-88.33280019641947
157.7336913520643,-28.92390941760238,27.04671233940893,-88.02643301696105
164.4059762524425,-27.71092170524218,25.83827188965322,-91.11326848907862
171.360505138936,-27.78017026000991,25.92232309878741,-88.52886482699256
178.609217200126,-27.52330468335304,25.65810277513945,-89.16122036147993
186.1645566636072,-26.7719818700122,24.90067018179023,-86.0721724922563
194.0394941596158,-26.52166962093223,24.64910802532837,-89.00601445539085
202.247548988362,-26.46521191004875,24.60809946367998,-90.08964884509234
210.8028123292901,-25.97359891948985,24.09714461004727,-87.30791339753607
219.7199714321139,-25.67619104339438,23.82614600448211,-90.61370035245329
229.0143348311534,-25.27997298248527,23.43097537469902,-89.80833121452062
238.7018586262665,-24.81579820395239,22.97318332114455,-89.91992906023911
248.7991738754823,-24.47329071006078,22.63439809735548,-87.45175749455368
259.3236151463755,-24.00823463805527,22.16644416251869,-89.10848018513883
270.2932502751869,-24.27129326891004,22.41583198187571,-89.38356321951176
281.7269113847843,-23.29223203275523,21.43830976435586,-86.15773085286645
293.6442272147124,-22.99317076485804,21.15297638828921,-88.2138384867807
306.0656568188346,-22.81317702717197,20.94744648594929,-88.40329468311498
319.0125246884172,-22.30486414312048,20.46070908660286,-90.1831422871971
332.5070573609534,-21.97357423715624,20.11378217279253,-86.24119361417812
346.5724215775736,-21.59409449147749,19.72984839081345,-87.33549046546403
361.2327640545542,-21.43178653264151,19.58482553319362,-88.22152766608096
376.5132529371953,-20.93252908148708,19.08326000972139,-89.57417059249963
392.4401210072382,-20.53960150077515,18.68752090455928,-88.17358681075378
409.0407107179982,-20.51843656099524,18.66666107746464,-87.60856346574076
426.3435211345256,-20.10419322916752,18.22008770852807,-89.99450733808969
444.3782568593789,-19.47563955355925,17.60329397978736,-90.14599733753516
463.1758790280082,-19.07947150295735,17.20735321606595,-89.1555316584958
482.7686584612883,-19.27769280403913,17.41144966442634,-89.0285061488743
503.1902310664553,-18.64815638711534,16.75461992589891,-89.48402775970413
524.4756555815562,-18.38923145077752,16.49477619219888,-89.26135004851517
546.6614737625438,-17.90567186353426,15.99904485964783,-89.66594801613434
569.7857731163404,-17.50940291947281,15.60247610982602,-89.67586613427855
593.8882522875714,-17.28886646168781,15.35982129372407,-89.79437462498811
619.0102892112237,-16.98020035866505,15.04241658554088,-89.02674001248297
645.1950121482167,-16.45673043079394,14.54444694797875,-88.90177514986294
672.4873737258538,-16.20208829961668,14.24325904441736,-90.19088298980739
700.9342281102546,-15.96496935413677,14.0019252602618,-88.38529806444686
730.584411443248,-15.59352034017048,13.63259901514509,-90.45319663855962
761.4888256818282,-15.27288593178544,13.29837189059716,-89.12145837121034
793.7005259841002,-15.02680678582304,13.04129088859827,-89.22945406817506
827.2748117917272,-14.57307168129353,12.56370922581065,-90.54331069970664
862.2693217652554,-14.35123590294955,12.32386788246365,-90.25891347982845
898.7441327352996,-14.03864314689876,11.96451871092712,-88.6638889561158
936.7618628394459,-13.68543100265682,11.62306611601364,-89.43467267597441
976.3877790219507,-13.36019080661754,11.30289464972565,-91.1058357306859
1017.68990908078,-13.13368888388038,11.03051216767012,-90.97738704572811
1060.73915845434,-12.70241319928439,10.60068911013746,-88.75039119617023
1105.609431948401,-12.39341443458235,10.26057946373878,-91.24513114722674
1152.377760612186,-12.1528304536091,10.00231171048777,-89.76112287154635
1201.124433981432,-11.70189866964657,9.542201466386929,-89.97555735407673
1251.93313791547,-11.50608641711413,9.323353446936274,-91.83124135672068
1304.891098264931,-11.16282160180717,8.96198874226662,-91.49935338896307
1360.089230616743,-10.80472257525848,8.585772893998987,-91.78285683464181
1417.622296373483,-10.65528555083123,8.436482029717984,-91.88008417243843
1477.589065435017,-10.30971302029065,8.030582198290457,-91.41506394065442
1540.092485761756,-10.0074505195394,7.714531329898326,-91.96075454392455
1605.239860110578,-9.766636895577665,7.424713066086923,-93.62469381351458
1673.14303024685,-9.485893132838266,7.147219341981726,-92.5260336209399
1743.918568948799,-9.095336669787574,6.751224773746979,-93.46927867527057
1817.687980133853,-8.723663221063182,6.294382042988112,-94.21467774087137
1894.577907450499,-8.481256678837823,6.092754982891494,-95.0858157524726
1974.720351693797,-8.171144064975715,5.719252924659103,-95.40176008940412
2058.252897417765,-7.936647247755029,5.453682244944018,-96.84142817554354
2145.318949133678,-7.627504366792422,5.150687960088599,-95.57327791357818
2236.067977499791,-7.274141931079137,4.792610958150904,-96.72722354483386
2330.655775925117,-6.896718666431058,4.367846706695961,-97.2564952202916
