ts,note
1800, 59
1920, 63
2040, 59
2160, 66
2280, 59
2400, 63
2520, 59
2640, 66
2760, 59
2880, 63
3000, 59
3120, 66
3240, 59
3360, 63
3480, 59
3600, 66
3720, 59
3840, 63
3960, 59
4080, 66
4200, 59
4320, 63
4440, 59
4560, 66
4680, 59
4800, 63
4920, 59
5040, 66
5160, 59
5280, 63
5400, 59
5520, 66
5640, 59
5760, 64
5880, 59
6000, 67
6120, 59
6240, 64
6360, 59
6480, 67
6600, 59
6720, 64
6840, 59
6960, 67
7080, 59
7200, 64
7320, 59
7440, 67
7560, 59
7680, 64
7800, 59
7920, 67
8040, 59
8160, 64
8280, 59
8400, 67
8520, 59
8640, 64
8760, 59
8880, 67
9000, 59
9120, 64
9240, 59
9360, 67
9480, 59
9600, 63
9720, 59
9840, 66
9960, 59
10080, 63
10200, 59
10320, 66
10440, 59
10560, 63
10680, 59
10800, 66
10920, 59
11040, 63
11160, 59
11280, 66
11400, 59
11520, 63
11640, 59
11760, 66
11880, 59
12000, 63
12120, 59
12240, 66
12360, 59
12480, 63
12600, 59
12720, 66
12840, 59
12960, 63
13080, 59
13200, 66
13320, 59
13440, 64
13560, 59
13680, 67
13800, 59
13920, 64
14040, 59
14160, 67
14280, 59
14400, 64
14520, 59
14640, 67
14760, 59
14880, 64
15000, 59
15120, 67
15240, 59
15360, 64
15480, 59
15600, 67
15720, 59
15840, 64
15960, 59
16080, 67
16200, 59
16320, 64
16440, 59
16560, 67
16680, 59
16800, 64
16920, 59
17040, 67
17160, 59
17280, 71
17400, 59
17520, 69
17640, 59
17760, 68
17880, 59
18000, 69
18120, 59
18240, 68
18360, 59
18480, 66
18600, 59
18720, 68
18840, 59
18960, 64
19080, 59
19200, 66
19320, 59
19440, 63
19560, 59
19680, 64
19800, 59
19920, 63
20040, 59
20160, 64
20280, 59
20400, 63
20520, 59
20640, 64
20760, 59
20880, 63
21000, 59
21120, 71
21240, 59
21360, 69
21480, 59
21600, 68
21720, 59
21840, 69
21960, 59
22080, 68
22200, 59
22320, 66
22440, 59
22560, 68
22680, 59
22800, 64
22920, 59
23040, 66
23160, 59
23280, 63
23400, 59
23520, 64
23640, 59
23760, 63
23880, 59
24000, 64
24120, 59
24240, 63
24360, 59
24480, 64
24600, 59
24720, 63
24840, 59
24960, 71
25080, 59
25200, 69
25320, 59
25440, 68
25560, 59
25680, 69
25800, 59
25920, 68
26040, 59
26160, 66
26280, 59
26400, 68
26520, 59
26640, 64
26760, 59
26880, 66
27000, 59
27120, 63
27240, 59
27360, 64
27480, 59
27600, 63
27720, 59
27840, 64
27960, 59
28080, 63
28200, 59
28320, 64
28440, 59
28560, 63
28680, 59
28800, 71
28920, 59
29040, 69
29160, 59
29280, 68
29400, 59
29520, 69
29640, 59
29760, 68
29880, 59
30000, 66
30120, 59
30240, 68
30360, 59
30480, 64
30600, 59
30720, 66
30840, 59
30960, 63
31080, 59
31200, 64
31320, 59
31440, 63
31560, 59
31680, 64
31800, 59
31920, 63
32040, 59
32160, 64
32280, 59
32400, 63
32520, 59
32640, 71
32760, 59
32880, 69
33000, 59
33120, 68
33240, 59
33360, 69
33480, 59
33600, 68
