ts,note
6960,59
7200, 0
7200,62
7440, 0
7440,59
7680, 0
7680,62
8160, 0
8160,64
8400, 0
8400,62
8640, 0
8640,66
9120, 0
9120,64
9360, 0
9360,62
9600, 0
10800,59
11040, 0
11040,62
11280, 0
11280,59
11520, 0
11520,62
12000, 0
12000,64
12240, 0
12240,62
12480, 0
12480,66
12960, 0
12960,64
13200, 0
13200,62
13440, 0
14640,59
14880, 0
14880,62
15120, 0
15120,59
15360, 0
15360,62
15840, 0
15840,64
16080, 0
16080,62
16320, 0
16320,66
16800, 0
16800,64
17040, 0
17040,62
17280, 0
18480,59
18720, 0
18720,62
18960, 0
18960,59
19200, 0
19200,62
19680, 0
19680,64
19920, 0
19920,62
20160, 0
20160,66
20640, 0
20640,64
20880, 0
20880,62
21120, 0
22320,59
22560, 0
22560,62
22800, 0
22800,59
23040, 0
23040,62
23520, 0
23520,64
23760, 0
23760,62
24000, 0
24000,66
24240, 0
24480,64
24720, 0
24720,62
24960, 0
26160,59
26400, 0
26400,62
26640, 0
26640,59
26880, 0
26880,62
27360, 0
27360,64
27600, 0
27600,62
27840, 0
27840,66
28320, 0
28320,64
28560, 0
28560,62
28800, 0
30000,59
30240, 0
30240,62
30480, 0
30480,59
30720, 0
30720,62
31200, 0
31200,64
31440, 0
31440,62
31680, 0
31680,66
32160, 0
32160,64
32400, 0
32400,62
32640, 0
33840,59
34080, 0
34080,62
34320, 0
34320,59
34560, 0
34560,62
35040, 0
35040,64
35280, 0
35280,62
35520, 0
35520,66
36000, 0
36000,64
36240, 0
36240,62
36480, 0
37680,59
37920, 0
37920,62
38160, 0
38160,59
38400, 0
38400,62
38880, 0
38880,64
39120, 0
39120,62
39360, 0
39360,66
39840, 0
39840,64
40080, 0
40080,62
40320, 0
41520,59
41760, 0
41760,62
42000, 0
42000,59
42240, 0
42240,62
42720, 0
42720,64
42960, 0
42960,62
43200, 0
43200,66
43680, 0
43680,64
43920, 0
43920,62
44160, 0
45360,59
45600, 0
45600,62
45780, 0
45840,59
46080, 0
46080,62
46560, 0
46560,64
46740, 0
46800,62
47040, 0
47040,66
47520, 0
47520,64
47700, 0
47760,62
48000, 0
49200,59
49440, 0
49440,62
49680, 0
49680,59
49920, 0
49920,62
50400, 0
50400,64
50640, 0
50640,62
50880, 0
50880,66
51360, 0
51360,64
51600, 0
51600,62
51840, 0
53040,59
53280, 0
53280,62
53520, 0
53520,59
53760, 0
53760,62
54240, 0
54240,64
54480, 0
54480,62
54720, 0
54720,66
55200, 0
55200,64
55440, 0
55440,62
55680, 0
56880,59
57120, 0
57120,62
57360, 0
57360,59
57600, 0
57600,62
58080, 0
58080,64
58320, 0
58320,62
58560, 0
58560,66
59040, 0
59040,64
59280, 0
59280,62
59520, 0
60720,59
60960, 0
60960,62
61200, 0
61200,59
61440, 0
61440,62
61920, 0
61920,64
62160, 0
62160,62
62400, 0
62400,66
62880, 0
62880,64
63120, 0
63120,62
63360, 0
